,road_name,condition,from,to,closed_date,closed_time,open_date,open_time,last_updated
0,Concrete Sauk Valley Rd,Shoulder Erosion: Westbound Lane Closed,Mile post 13,,1/6/2015,3:14 PM,,TBD,5/7/2015 7:53 AM
1,Beaver Lake Rd,Water over Road / OPEN,Turner Creek Area,,,,,,11/18/2019 9:03 AM
2,Fonk Road,Water over Road / OPEN,Beaver Lake Rd at Fonk Rd,,,,,,12/20/2019 12:57 PM
3,Fox Road,Water over Road / OPEN,East of Beaver Lake Rd,,,,,,12/31/2019 2:34 PM
4,Colony Road,Water over Road / OPEN,Colony Mountain Drive/Colony Road,15485 Colony Road,,,,,1/2/2020 7:28 AM
5,Beaver Lake Rd,Water over Road / OPEN,13578 Beaver Lake Rd,,,,,,1/6/2020 1:07 PM
6,Hamilton Cemetery Road,Water over Road / OPEN,West end of Hamilton Cemetery Rd,North of HWY 20,,,,,1/13/2020 9:50 AM
7,Starbird Rd,Water over Road / OPEN,21040 Starbird Rd,21376 Starbird Rd,,,,,2/5/2020 12:48 PM
8,Tyee Rd,Water over Road / OPEN,21401 Tyee Rd,21290 Tyee Rd,,,,,2/5/2020 12:53 PM
9,Thomas Road,Water over Road / OPEN,9609 Thomas Rd area,9359 Thomas Rd,,,,,2/6/2020 9:33 AM
